< test(1) >
368 239 231
851 612 953
56 144 912
503 441 169
315 604 625
739 90 106
455 862 657
646 936 337
463 513 541
106 376 199
847 981 363
710 404 460
262 332 875
494 332 587
336 729 127
520 328 735
782 52 783
571 642 786
301 141 511
64 35 656
862 858 850
945 137 395
226 355 308
618 486 664
635 305 196
608 284 382
828 215 538
576 523 611
547 693 472
778 693 136
694 377 181
760 297 325
637 395 28
696 80 935
943 643 621
198 528 730
469 324 31
527 396 214
967 258 91
116 490 774
88 418 697
619 662 705
746 483 82
793 667 446
341 127 820
520 221 343
388 861 94
734 558 383
743 2 705
561 694 931
857 96 197
956 854 401
981 636 399
375 974 609
918 388 830
458 390 73
931 190 47
703 414 207
265 34 924
662 538 822
163 377 886
229 950 608
651 934 849
768 714 282
102 25 320
32 429 294
313 389 492
139 729 632
167 974 163
307 680 995
434 892 254
276 629 40
235 642 888
204 845 376
111 793 363
429 670 919
316 102 685
192 170 942
641 44 739
117 364 280
554 608 680
985 278 234
511 904 476
442 208 244
405 625 948
379 142 256
863 42 860
403 68 117
398 8 47
670 424 17
876 4 632
561 192 509
219 675 663
380 745 704
354 719 981
472 79 997
201 489 60
157 854 423
859 282 979
382 552 810
655 137 719
57 240 719
612 147 954
564 286 346
461 861 166
851 123 192
671 603 107
104 46 113
797 183 495
361 320 22
416 778 588
156 70 414
479 298 514
717 101 709
311 308 293
497 475 817
939 691 10
751 334 597
45 581 93
541 226 443
774 478 629
667 997 371
572 297 320
442 712 314
507 611 823
310 312 387
159 725 482
110 848 756
86 932 617
890 653 589
891 633 765
578 442 424
503 75 750
541 430 839
601 321 203
243 431 433
801 705 790
944 453 371
512 498 750
708 9 835
438 357 879
171 573 953
297 83 695
479 749 969
841 847 135
466 372 808
381 891 248
807 606 861
637 233 750
845 899 651
428 64 486
173 76 370
988 758 679
509 949 747
800 945 856
534 995 14
914 916 324
62 567 611
332 377 455
429 482 374
123 151 24
234 819 276
420 195 377
584 328 788
586 810 184
898 588 230
956 814 753
495 176 402
658 24 298
897 388 942
375 510 285
276 55 342
611 834 884
92 993 640
640 780 374
711 109 387
882 997 876
858 813 447
318 946 356
913 665 2
521 230 919
78 479 9
573 729 174
715 314 483
294 892 842
13 461 402
278 803 365
317 723 147
331 400 910
468 44 328
654 354 591
36 916 822
910 793 744
985 626 840
531 656 744
103 225 618
422 340 224
188 302 508
581 468 217
87 377 13
334 806 315
828 619 48
283 530 709
204 438 379
139 292 79
380 179 109
846 106 947
845 831 862
29 840 125
859 906 182
538 668 335
85 87 603
843 479 26
752 270 261
44 554 491
260 147 801
81 963 606
899 105 16
286 300 935
126 450 542
469 712 460
839 719 592
838 448 711
40 650 1
423 753 798
641 112 323
234 724 24
50 525 499
355 30 592
568 289 510
860 810 806
558 15 310
858 981 805
276 566 763
567 640 901
898 20 443
667 256 243
155 924 152
596 382 716
221 484 68
521 306 556
573 876 97
328 227 776
999 508 960
651 624 859
803 8 392
150 309 576
607 666 73
491 297 116
464 394 284
733 791 439
597 460 375
639 606 719
113 740 686
694 721 49
949 356 855
60 537 400
925 983 840
288 238 36
69 850 77
931 465 598
96 664 556
241 89 453
264 471 812
204 896 904
479 648 513
7 186 857
197 321 868
335 662 349
476 523 94
398 947 113
192 988 481
893 183 723
407 523 573
48 111 513
895 502 803
289 421 697
865 259 407
233 437 551
828 198 586
599 647 901
871 72 667
656 175 772
529 693 211
566 902 785
126 596 32
999 59 529
910 385 969
253 882 655
673 59 72
855 42 745
604 179 545
281 843 555
612 847 188
281 635 87
132 511 796
880 253 116
513 530 196
845 840 970
708 978 602
968 315 18
759 610 51
503 841 339
115 657 745
185 188 28
930 407 736
322 802 605
511 118 445
676 907 611
638 627 334
10 764 990
512 272 788
162 140 672
189 257 735
819 745 348
866 821 792
333 125 269
364 395 794
692 153 828
716 156 806
521 118 446
541 900 679
517 878 690
874 995 701
706 959 377
380 385 743
742 37 564
659 755 504
365 702 744
854 868 95
427 682 17
212 342 497
557 393 131
730 562 10
38 964 126
590 499 191
843 257 825
456 550 888
716 637 444
34 139 305
206 935 919
663 932 404
482 511 562
553 807 547
160 957 471
786 724 831
455 429 422
571 928 193
45 968 423
624 925 561
180 553 996
283 647 742
383 606 926
514 300 682
994 7 76
293 890 873
217 626 753
203 906 843
404 539 244
595 939 826
336 369 533
459 820 141
481 673 518
785 148 769
276 489 314
379 275 66
741 994 29
460 853 169
228 10 671
460 997 463
284 951 936
298 956 999
847 310 871
187 430 425
829 224 735
689 26 536
270 292 203
529 267 921
542 319 876
671 903 549
923 126 645
967 135 211
419 250 291
198 361 250
328 362 565
58 854 383
295 131 532
932 90 856
990 911 671
943 118 494
446 269 548
864 645 499
302 939 26
922 294 100
902 758 641
939 499 556
627 22 14
155 120 464
686 605 609
302 340 804
65 212 298
200 755 679
847 330 343
738 85 489
248 352 67
142 489 108
675 478 952
316 369 225
526 666 398
464 765 533
336 775 552
708 708 145
710 443 957
525 579 118
424 692 207
791 273 696
996 158 244
274 782 580
690 866 595
763 310 756
104 921 801
863 961 803
526 419 768
216 504 423
266 669 184
335 952 392
860 326 284
379 822 248
704 496 60
316 789 996
295 182 592
439 924 272
580 704 555
974 544 20
416 114 629
290 853 949
389 81 891
373 384 271
334 98 453
581 333 233
690 884 487
465 11 532
299 654 788
312 84 889
115 473 15
397 606 324
740 428 18
849 317 908
686 203 709
685 551 512
706 581 959
27 438 324
710 42 771
392 73 195
848 613 838
97 729 789
677 986 922
41 566 435
391 172 233
881 932 279
362 663 12
376 668 337
558 69 726
994 171 693
200 336 190
616 645 346
850 703 280
543 372 20
923 599 367
175 262 862
351 780 552
622 483 47
117 810 353
653 509 498
923 143 182
891 170 461
607 213 262
893 613 203
285 247 291
517 39 602
56 682 344
548 315 965
766 427 298
105 136 146
952 320 596
844 775 334
959 608 84
626 977 190
130 32 579
239 258 728
553 19 381
536 36 771
943 875 553
54 52 564
555 79 104
321 122 886
227 678 760
107 381 257
505 822 548
584 732 547
961 204 402
212 210 882
340 257 986
728 893 18
893 455 729
662 36 94
423 167 681
707 574 548
27 151 437
754 585 37
411 5 456
227 72 910
247 382 406
378 200 572
761 365 767
694 957 285
470 787 551
740 555 160
793 802 866
748 137 886
794 980 804
112 586 51
152 579 365
902 225 334
288 207 449
841 82 571
358 873 90
412 623 775
18 787 988
604 715 159
989 584 445
26 674 240
309 904 365
689 356 125
863 997 12
404 320 552
756 70 75
72 204 708
504 271 635
20 43 449
596 904 959
595 143 800
316 747 786
171 91 659
970 671 6
569 864 588
200 992 499
792 858 836
1000 922 1
493 474 432
943 366 831
943 350 74
422 939 286
132 883 912
1000 367 850
806 658 244
344 819 652
259 629 133
665 405 12
706 661 941
818 521 679
213 202 545
102 866 172
623 953 184
323 740 415
76 940 436
813 331 679
647 614 273
953 786 842
741 368 33
259 122 707
289 874 470
852 104 798
103 325 468
554 516 984
696 254 66
978 959 164
276 618 93
230 556 541
560 374 494
470 120 701
533 862 447
998 906 346
864 671 331
483 733 160
218 64 52
1 819 539
403 598 687
33 198 195
396 80 240
52 21 418
253 434 803
118 642 393
92 758 475
867 263 150
603 322 281
345 127 677
830 580 314
884 105 21
375 456 280
332 993 650
136 85 681
909 808 325
109 626 723
665 589 443
741 279 464
952 21 741
515 856 966
79 662 359
202 285 465
365 831 835
772 625 672
584 381 174
749 367 426
580 711 227

------ INPUT END --------
------ ANSWER START -----
549613

------ ANSWER END -------
< test(2) >
------ INPUT START ------
145
286 818 204
941 790 649
394 511 39
523 65 579
534 870 72
631 31 989
598 415 569
536 459 798
961 662 257
155 33 692
607 502 765
905 973 174
958 478 929
858 755 520
62 775 770
490 591 473
937 761 107
969 370 105
665 83 251
46 103 676
798 939 990
367 570 268
505 525 984
283 539 199
562 853 379
221 76 959
174 922 27
294 364 883
791 158 981
679 89 661
614 597 379
918 939 596
545 218 144
954 113 253
509 21 849
795 811 993
754 106 900
37 149 614
317 761 767
860 211 862
222 633 455
894 225 698
478 657 713
629 404 874
45 578 413
666 998 999
755 518 660
50 639 954
122 274 310
143 153 872
559 357 120
592 887 270
67 566 371
342 63 482
231 623 986
427 570 249
854 562 934
713 687 663
307 826 49
834 403 965
782 52 419
867 198 628
549 547 647
494 783 39
768 14 225
155 689 524
704 387 853
73 578 626
272 255 666
809 598 141
615 594 246
412 170 54
313 102 847
736 514 884
707 694 937
274 514 547
384 431 23
749 854 88
736 627 773
79 565 621
413 852 64
503 139 100
127 746 884
68 556 102
783 565 491
422 871 404
148 199 450
856 548 219
461 626 208
766 362 159
222 559 892
422 113 834
239 982 797
412 255 457
855 230 871
357 556 458
215 521 200
867 885 503
199 201 666
968 838 53
330 152 56
48 116 522
54 486 984
686 647 913
807 542 735
696 564 378
411 47 413
885 343 228
185 643 482
435 671 765
800 61 960
257 726 931
192 605 952
312 853 480
321 691 112
834 265 447
377 950 799
811 778 961
743 594 551
572 356 29
643 509 986
605 257 774
517 21 46
256 193 667
454 707 724
792 670 562
280 764 204
869 656 718
993 895 726
380 494 692
894 203 42
363 364 843
491 163 642
488 653 213
776 132 134
241 826 101
614 715 579
804 231 404
581 836 786
256 973 772
347 956 956
988 538 615
325 281 311
646 329 93
214 9 639

------ INPUT END --------
------ ANSWER START -----
104906

------ ANSWER END -------
< test(3) >
------ INPUT START ------
665
726 131 781
309 12 368
818 954 814
587 605 453
553 673 615
776 994 322
86 544 898
46 483 332
456 465 440
887 366 854
889 611 265
482 648 154
957 296 227
317 204 249
13 980 175
602 100 896
689 120 600
452 100 997
251 126 820
905 883 462
626 531 994
443 898 130
647 336 325
104 819 426
673 852 745
993 662 748
4 146 937
530 260 27
959 610 761
604 394 203
960 739 192
199 44 860
748 929 394
663 507 3
274 195 509
802 23 118
262 58 260
232 823 912
674 222 964
11 964 906
868 97 389
653 89 113
459 127 787
678 712 164
487 580 919
254 752 391
405 162 723
473 512 170
133 840 91
990 408 214
708 842 37
840 187 22
826 698 242
558 655 101
169 212 62
469 265 267
317 27 447
267 851 456
572 430 52
304 146 173
114 38 88
474 320 970
626 808 826
374 978 676
710 168 383
244 701 373
760 317 897
449 815 236
161 84 102
19 74 946
427 404 183
702 161 159
567 282 502
433 48 104
258 473 873
427 6 564
831 510 448
531 833 487
279 840 734
227 444 148
314 348 210
235 584 342
545 730 662
651 432 304
928 11 807
865 209 280
247 103 134
43 911 915
190 699 678
35 101 900
359 896 841
45 286 344
324 545 764
811 281 340
758 2 595
59 530 140
318 971 278
137 917 612
870 985 489
13 978 642
968 241 491
761 226 657
635 252 197
103 37 746
318 382 514
110 415 537
495 835 980
344 127 819
531 757 361
696 116 959
734 845 855
87 458 69
975 965 677
760 813 461
677 335 720
556 691 424
85 981 518
602 159 775
289 355 212
659 813 283
941 663 199
265 16 758
504 200 466
938 584 283
742 503 564
787 584 148
695 202 714
770 878 283
532 668 191
667 565 558
398 644 898
814 842 468
560 485 685
111 248 395
593 737 135
84 825 929
697 12 182
611 445 525
918 343 58
832 779 256
647 808 128
986 637 182
922 437 508
565 115 857
689 934 544
484 735 723
38 295 575
78 921 978
609 474 70
164 332 986
336 993 483
999 657 348
638 593 311
716 440 896
539 959 445
323 140 483
277 577 889
104 439 573
136 177 567
470 914 229
160 672 906
976 126 184
371 786 552
361 386 746
10 23 394
947 308 131
649 875 817
866 856 895
594 669 504
902 830 6
650 633 862
954 778 887
333 713 445
870 595 820
195 536 764
437 309 186
641 554 448
404 477 707
754 672 295
700 564 438
20 428 286
503 313 859
141 934 664
86 23 476
462 970 563
398 556 182
794 391 487
193 780 733
517 396 694
10 165 806
675 730 714
106 497 44
979 505 809
153 248 660
457 62 74
642 236 182
295 957 349
852 104 51
160 445 877
748 408 916
258 642 993
934 545 520
823 500 818
672 311 739
214 980 799
466 17 149
593 342 311
395 49 856
177 167 214
729 81 726
542 909 415
679 155 913
77 408 980
345 717 391
913 574 662
364 681 83
963 893 244
759 77 486
202 346 432
929 260 553
590 516 168
403 33 891
836 803 936
157 144 552
36 70 56
887 815 107
914 727 610
616 679 431
439 142 190
843 714 591
298 67 541
436 531 712
797 199 102
423 28 67
667 931 61
712 181 335
876 158 646
262 359 606
806 268 549
146 828 521
692 615 214
921 236 982
528 774 656
239 973 792
418 565 931
410 83 374
230 970 943
4 507 691
504 268 20
542 93 354
762 775 203
866 316 577
360 561 762
32 34 413
273 431 519
341 155 619
801 578 164
741 216 106
167 339 910
901 870 262
616 69 989
461 801 615
72 905 61
508 298 653
387 251 85
429 82 826
268 44 658
603 671 708
921 344 554
475 428 185
14 493 583
617 144 680
470 38 309
582 791 781
628 486 929
603 515 123
587 529 838
659 333 168
30 603 298
357 393 464
221 882 752
701 56 683
214 639 587
96 307 731
982 906 242
443 615 979
67 748 638
162 479 602
53 277 841
925 165 468
593 764 611
696 261 921
222 417 911
436 795 320
810 587 381
542 938 112
177 686 847
453 363 744
959 98 915
795 529 634
250 273 35
186 755 688
833 298 120
133 882 953
572 298 574
467 691 838
119 742 173
558 241 415
814 646 628
160 855 906
474 992 741
145 610 433
116 199 522
996 918 434
133 903 268
516 965 875
128 68 456
249 872 896
118 886 944
810 681 253
724 253 325
781 372 831
779 57 567
119 930 812
746 353 383
940 747 996
669 629 806
942 893 553
709 616 762
790 812 298
817 29 301
589 11 266
617 264 305
3 38 567
854 298 148
220 667 827
22 131 755
339 195 460
5 555 219
937 404 939
284 130 456
270 912 182
609 137 403
188 790 266
423 6 397
709 107 244
793 723 489
982 207 968
882 746 359
334 139 457
250 349 330
254 95 337
14 481 487
116 258 423
637 50 778
268 585 973
467 986 44
101 266 369
174 158 597
993 405 464
470 839 179
746 735 776
173 534 314
330 849 772
241 768 676
410 530 77
559 363 234
482 590 536
58 345 183
937 850 703
298 400 886
566 983 102
227 591 692
939 446 308
486 528 142
571 172 278
512 112 143
2 232 834
980 899 748
536 619 617
467 901 233
91 612 363
206 559 107
895 297 331
121 581 258
512 30 874
436 44 696
596 986 157
649 908 455
380 740 933
737 803 818
815 966 784
387 561 527
566 547 841
667 914 479
60 161 428
243 847 369
644 205 405
656 185 422
327 627 635
429 168 571
273 326 287
947 644 262
826 116 827
829 623 891
86 390 801
855 33 352
374 227 270
806 372 943
772 551 916
213 154 664
706 656 505
52 736 848
227 314 85
585 774 383
724 703 417
15 116 228
288 872 570
434 390 215
909 785 823
295 809 977
758 746 312
458 132 979
872 315 128
106 540 456
320 397 992
733 566 56
291 304 823
105 860 768
294 160 708
86 901 336
205 515 846
184 170 460
596 709 383
470 941 99
867 273 278
71 883 901
852 908 473
221 652 396
121 344 627
992 854 453
933 957 692
14 771 702
120 980 906
745 72 554
205 101 989
139 638 49
930 165 318
174 928 139
51 766 730
343 374 226
606 353 774
236 461 88
131 89 454
684 440 406
977 418 955
79 594 424
410 422 729
720 947 984
2 65 391
41 76 599
38 236 603
893 226 264
572 112 340
579 853 916
821 265 839
40 385 465
682 340 734
24 956 346
251 349 312
193 231 688
285 428 998
4 336 423
653 387 858
105 624 238
849 340 211
807 280 948
412 851 927
362 757 911
869 294 753
466 460 996
532 777 434
538 772 735
32 305 236
168 657 336
666 649 517
206 680 204
883 401 716
586 377 496
191 40 989
325 114 308
411 485 812
639 292 30
248 892 221
74 363 163
726 155 28
779 138 950
852 693 810
121 882 585
415 371 186
671 556 611
694 624 606
726 694 817
889 249 27
989 498 702
427 282 184
805 422 333
560 184 786
612 357 631
279 337 835
865 506 17
167 214 774
569 410 579
605 841 39
451 481 589
735 665 906
756 539 875
680 651 711
810 263 366
857 400 323
546 974 808
359 801 439
708 835 581
405 108 499
101 326 876
75 933 367
969 323 711
362 156 552
781 841 195
430 877 430
947 470 592
181 865 78
192 580 820
145 415 809
216 742 29
171 805 364
551 646 571
809 93 96
772 838 806
356 804 217
53 799 538
135 714 402
271 911 797
592 209 359
107 301 27
486 192 163
344 556 868
936 9 882
969 890 29
975 102 548
954 780 610
475 145 574
567 901 845
165 281 978
228 636 136
572 829 425
639 712 182
932 174 926
273 208 157
554 835 56
264 277 218
986 689 669
719 361 934
482 598 200
794 230 206
328 615 848
723 532 313
905 309 845
591 384 810
140 828 587
216 279 230
232 596 367
318 306 312
186 695 897
225 440 216
550 252 293
541 667 325
965 348 237
666 115 985
73 399 130
542 736 685
146 679 921
952 826 204
643 874 348
29 249 660
377 61 903
984 592 689
108 908 26
196 801 730
70 283 23
30 976 137
532 760 393
633 798 86
896 122 968
16 150 638
242 505 271
580 993 531
471 148 2
864 395 719
31 857 983
166 292 506
875 368 386
203 289 860
805 565 301
586 800 185
170 503 542
390 795 389
703 634 103
337 835 174
386 299 451
187 17 967
476 899 377
366 254 441
650 755 33
147 767 84
639 131 852
830 685 299
692 450 909
705 704 447
713 733 78
41 409 803
518 592 713
940 508 910
906 672 611
716 608 69
55 71 497
916 891 537
756 406 205
726 383 976
537 515 217
316 332 497
97 884 424
597 688 927
843 36 632
241 25 133
445 437 310
310 758 806
104 557 912
741 803 707
620 19 143
55 974 298
264 411 367
952 46 755
242 347 25
248 404 798
542 736 287
542 650 801
187 571 972
242 56 166
136 709 379
34 906 683
163 455 318
818 42 400
343 519 760
49 94 721
573 884 990
302 842 864
627 222 583
309 205 646
72 874 516
820 322 985
893 932 589
205 506 667
45 690 266
596 282 97

------ INPUT END --------
------ ANSWER START -----
468501

------ ANSWER END -------
< test(4) >
------ INPUT START ------
105
531 985 279
277 511 477
287 287 482
507 435 604
23 230 983
791 245 707
34 18 480
65 227 438
720 155 630
371 734 547
945 343 78
33 653 769
744 223 171
738 123 775
313 981 379
218 203 594
530 38 543
397 648 346
590 626 583
302 859 567
935 712 172
328 950 706
171 549 590
437 91 268
938 704 322
160 93 345
27 814 465
113 284 104
975 1 112
29 714 645
695 499 486
114 635 628
1 350 636
111 704 733
64 943 125
466 367 164
895 211 341
581 214 928
951 744 142
177 951 240
138 789 955
354 653 423
821 447 441
321 171 593
685 259 495
290 478 168
675 299 115
264 765 972
644 845 663
473 627 608
96 461 662
431 282 444
785 873 793
529 869 184
912 9 914
437 273 106
945 969 688
725 533 327
253 108 300
526 229 856
977 498 799
879 754 294
397 169 274
729 220 260
667 412 528
858 904 138
14 887 132
240 44 497
450 784 509
956 741 762
737 934 808
659 514 87
390 38 496
480 306 427
476 182 658
770 539 713
542 518 864
857 863 274
995 967 314
59 944 592
83 171 525
821 978 55
38 154 204
267 851 554
986 464 533
591 671 644
256 966 161
115 521 168
115 151 152
902 140 405
315 545 89
7 752 24
741 325 445
962 659 710
474 294 239
229 840 580
56 608 973
430 507 488
56 515 827
524 925 822
588 699 434
836 499 320
665 107 679
743 214 543
444 677 690

------ INPUT END --------
------ ANSWER START -----
72848

------ ANSWER END -------
< test(5) >
------ INPUT START ------
642
296 998 518
855 493 721
126 536 825
524 769 387
663 507 694
630 403 213
80 91 931
206 687 311
897 407 116
260 233 452
146 976 328
1 840 596
697 62 188
295 118 65
728 785 476
359 273 937
48 24 574
790 563 59
970 472 244
570 554 161
938 198 315
756 966 210
193 917 657
961 383 209
228 901 720
816 909 127
232 580 765
290 522 750
61 968 82
611 807 602
530 132 996
661 450 552
100 162 959
859 174 592
931 296 37
867 352 499
549 537 697
269 364 988
176 707 467
739 120 338
314 664 842
549 859 87
786 664 38
477 778 112
298 424 756
337 865 244
487 870 573
48 485 26
946 123 212
674 242 661
667 48 616
84 610 633
671 478 937
348 940 725
844 771 764
323 3 183
829 619 895
128 555 5
148 224 16
984 422 663
541 638 977
447 49 335
423 814 791
280 362 255
105 9 595
71 139 312
430 271 554
858 381 190
761 201 389
647 291 626
72 853 745
720 52 843
88 875 230
277 703 744
681 519 954
655 459 186
793 408 182
33 126 14
486 74 729
695 688 655
189 253 273
609 131 493
680 329 554
564 617 863
919 704 812
161 596 56
642 879 252
742 86 511
859 945 727
458 851 551
230 808 466
192 955 27
976 76 377
566 262 740
554 896 263
943 918 464
902 118 573
38 330 300
965 700 327
700 887 852
597 566 950
579 493 333
823 795 577
493 249 778
163 418 415
75 70 172
331 982 52
554 883 89
814 463 589
613 121 368
969 657 680
812 306 385
283 915 81
383 130 963
136 923 454
967 184 251
409 250 717
790 709 129
295 735 552
868 857 727
397 771 34
964 703 563
245 914 151
905 533 116
489 516 233
864 793 551
655 327 252
567 671 651
140 450 882
380 755 64
566 915 125
844 856 350
787 387 453
78 972 634
955 295 140
933 920 567
826 692 272
247 1000 431
332 556 133
27 367 201
488 870 681
422 584 672
631 478 541
113 296 311
563 53 209
340 265 948
723 11 732
494 327 962
758 644 533
783 340 654
689 526 857
69 847 801
132 219 214
390 636 580
56 83 356
486 949 452
358 322 885
384 326 848
820 886 167
631 317 636
456 453 8
195 886 111
779 675 51
889 209 657
93 977 704
180 954 56
490 268 512
196 513 644
776 896 588
280 954 213
881 315 261
576 533 353
675 656 126
374 156 744
864 26 599
901 718 930
161 733 376
81 653 210
217 36 505
931 851 463
484 784 243
681 765 914
11 308 532
586 135 586
566 105 547
589 645 714
595 710 128
298 459 153
80 959 191
704 46 574
224 369 207
466 325 811
478 642 567
638 50 983
973 497 448
428 204 271
190 257 589
339 75 688
27 835 819
905 281 916
195 948 17
659 228 629
888 112 77
847 252 295
911 491 872
540 804 775
926 901 373
607 411 182
432 673 341
573 415 862
464 679 173
940 721 761
108 124 572
351 503 70
756 666 817
695 905 174
441 344 616
329 909 259
525 330 521
75 867 410
663 583 267
288 681 861
730 897 480
895 909 848
681 368 967
879 800 249
587 416 898
733 714 79
487 651 182
686 181 670
839 900 351
166 63 691
720 180 316
718 48 215
990 538 526
106 803 984
9 945 691
378 155 965
469 129 523
813 455 463
981 901 42
984 218 810
67 272 704
379 174 699
513 761 770
822 536 743
930 161 675
655 107 347
242 613 215
343 426 720
638 741 153
449 311 982
258 970 432
117 481 705
18 308 110
321 903 209
398 591 891
143 368 930
485 662 439
35 140 907
721 226 617
59 955 491
669 811 887
501 399 905
794 845 257
605 482 613
29 860 205
363 520 351
247 491 507
276 642 548
183 87 210
583 306 752
163 843 830
975 457 467
120 944 193
886 233 371
717 315 41
876 848 779
295 587 554
846 710 519
183 982 117
347 970 817
222 728 606
362 749 871
569 277 341
238 407 38
966 311 614
918 971 329
372 975 128
527 970 53
210 22 490
28 692 874
426 830 758
720 399 956
308 898 601
833 776 291
931 384 498
424 793 498
883 860 194
525 228 827
701 137 115
655 420 325
115 99 168
528 994 468
265 142 882
64 152 853
442 637 21
455 402 423
478 660 695
421 39 804
141 341 186
436 168 698
799 237 619
183 359 784
250 985 539
750 321 824
63 157 963
793 148 296
166 127 146
631 325 873
939 347 187
408 578 542
227 64 347
822 343 294
463 213 254
135 733 698
252 946 737
768 424 968
684 268 357
637 881 47
235 945 402
826 877 429
848 732 889
779 749 725
771 154 283
640 43 342
394 17 342
629 75 128
996 343 545
777 232 556
120 10 17
945 593 424
224 980 221
364 885 760
159 166 430
832 108 766
206 55 745
565 192 615
607 122 960
871 965 633
409 443 16
389 254 601
439 107 40
890 136 216
396 655 340
487 991 243
342 757 475
314 983 896
669 68 899
71 991 941
896 73 724
236 207 452
180 667 855
415 255 908
448 225 220
450 65 657
639 517 18
491 21 278
621 518 706
203 421 779
719 600 544
693 247 17
537 278 999
325 936 793
150 931 840
243 308 634
71 685 447
619 519 793
338 678 454
346 323 371
37 110 188
361 587 906
582 221 57
393 597 966
772 126 726
266 736 312
973 40 373
382 736 413
668 293 973
226 87 687
554 260 55
498 772 744
281 344 89
538 971 33
508 247 451
551 842 662
215 761 517
174 85 400
189 787 241
903 387 810
168 997 165
101 651 542
746 289 607
388 11 862
704 532 397
612 497 791
945 681 728
561 381 148
934 807 656
4 224 650
843 593 237
560 381 420
257 141 817
595 720 700
213 394 88
389 765 681
224 287 488
219 300 405
996 337 731
601 585 672
538 484 381
806 128 562
861 765 284
802 331 84
403 416 524
661 741 39
986 378 512
638 831 578
532 172 158
290 453 585
335 102 320
712 661 812
949 659 81
147 912 940
600 335 926
253 18 584
570 58 644
774 314 10
914 820 390
413 926 364
314 874 196
186 288 541
24 259 346
793 455 116
150 337 22
979 839 547
941 983 621
105 800 978
891 652 908
172 821 306
870 376 521
571 961 845
401 383 406
548 277 488
429 715 251
510 322 789
953 812 414
308 56 533
305 50 656
687 638 887
532 654 856
574 529 517
397 642 374
196 750 261
454 542 64
2 824 603
126 503 239
614 713 520
352 887 971
446 304 757
419 877 362
12 677 729
444 221 193
341 810 260
864 871 504
642 30 898
347 118 878
588 73 397
332 468 8
898 10 677
683 806 78
454 902 344
999 666 727
585 174 549
489 833 54
336 788 494
821 940 344
734 516 648
292 348 601
234 565 411
708 980 971
147 671 399
627 737 841
887 298 202
158 640 468
855 63 248
923 117 151
272 68 689
229 352 216
40 605 300
545 56 453
929 961 57
848 896 825
139 593 800
549 896 20
738 759 899
982 274 461
664 119 591
529 4 290
814 514 419
950 463 771
53 878 414
21 868 454
92 728 929
266 465 417
688 520 524
396 210 127
147 693 351
359 882 841
144 843 788
601 491 924
472 422 823
354 878 612
585 106 787
961 79 804
407 463 753
878 320 170
409 325 971
791 239 916
899 267 328
410 669 220
841 174 557
620 584 229
429 407 632
657 734 229
137 846 132
856 163 272
757 433 856
918 830 462
542 843 104
851 180 812
93 615 894
414 924 72
709 195 33
848 659 697
600 355 778
993 29 313
613 799 189
919 605 433
196 952 667
648 3 362
244 942 353
878 734 941
659 63 862
435 784 83
831 814 62
413 629 684
63 655 94
199 492 707
593 90 512
130 193 566
353 242 29
835 70 181
98 80 864
255 177 534
778 864 753
3 429 632
399 897 597
174 742 419
748 121 566
980 357 516
244 808 816
793 287 275
198 785 547
378 101 42
574 508 623
913 490 703
406 187 75
152 295 95
830 609 268
982 758 989
722 967 800
568 267 55
